,City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
328,namibe,51,AO,1570027779,83,-15.19,12.15,292.383,5.73
329,kropotkin,0,RU,1570028253,47,45.43,40.58,294.26,2.55
330,la roche-sur-yon,90,FR,1570028254,72,46.67,-1.43,291.15,3.1
331,huarmey,96,PE,1570028255,91,-10.07,-78.15,289.483,5.47
332,elizabeth city,1,US,1570027970,74,36.3,-76.22,301.48,4.6
333,hirara,0,JP,1570028256,84,24.8,125.28,300.283,2.99
334,svetlogorsk,20,RU,1570028257,45,53.14,59.15,281.15,5.0
335,hualmay,77,PE,1570028258,90,-11.1,-77.61,289.583,5.89
336,necochea,63,AR,1570028259,68,-38.55,-58.74,283.71,3.13
337,zverinogolovskoye,67,RU,1570028260,55,54.46,64.85,280.883,4.45
338,gimli,71,CA,1570028047,99,50.63,-96.99,277.04,2.35
339,pringsewu,65,ID,1570027806,92,-5.36,104.98,295.683,1.61
340,broken hill,0,AU,1570028263,14,-31.97,141.45,293.15,5.1
341,kitale,23,KE,1570028264,84,1.02,35.0,292.183,1.09
342,pemberton,61,AU,1570028265,88,-34.44,116.03,287.59,0.93
343,lac du bonnet,30,CA,1570028265,99,50.25,-96.06,277.04,2.11
344,padang,74,ID,1570028267,82,-0.92,100.36,299.083,6.75
345,escanaba,90,US,1570027990,76,45.75,-87.06,283.15,7.2
346,leningradskiy,100,RU,1570028269,91,69.38,178.42,272.183,7.21
347,greenfield,90,US,1570027986,83,42.59,-72.6,296.15,2.1
348,fuengirola,0,ES,1570028271,22,36.54,-4.62,304.15,7.2
349,mae sai,20,MM,1570028272,94,20.44,99.89,299.15,0.4
350,srednekolymsk,59,RU,1570028273,62,67.46,153.71,269.283,6.68
351,iwanai,100,JP,1570028274,74,42.97,140.51,287.283,2.18
352,kavali,7,IN,1570028275,63,14.91,79.99,302.883,3.87
353,shawinigan,90,CA,1570028001,81,46.54,-72.75,282.59,5.1
354,mbaiki,92,CF,1570028278,87,3.87,17.99,299.583,0.34
355,norman wells,90,CA,1570028279,100,65.28,-126.83,277.15,1.0
356,airai,100,TL,1570028280,83,-8.93,125.41,294.083,2.28
357,sharkan,100,RU,1570028281,96,57.3,53.87,284.26,1.34
358,mount gambier,90,AU,1570028282,93,-37.83,140.78,286.15,3.6
359,the pas,1,CA,1570028283,92,53.82,-101.24,271.15,1.5
360,husavik,96,CA,1570027796,99,50.56,-96.99,277.04,2.38
361,petropavlovsk-kamchatskiy,99,RU,1570028285,87,53.05,158.65,279.15,1.0
362,doka,96,SD,1570028285,70,13.52,35.76,301.083,2.5
363,humberto de campos,100,BR,1570028286,71,-2.6,-43.46,300.583,3.51
364,mana,100,NG,1570028287,46,13.03,5.27,303.283,3.74
365,sabang,96,PH,1570028288,84,13.8,121.11,298.15,0.45
366,soria,87,ES,1570028289,52,41.76,-2.46,289.82,5.36
367,gusau,100,NG,1570028290,58,12.17,6.66,301.283,2.54
368,madang,27,CN,1570028292,95,35.32,102.79,278.083,1.67
369,vitim,100,RU,1570028293,88,59.44,112.57,273.283,4.45
370,tayu,75,JP,1570028294,78,35.06,136.67,298.15,4.1
371,lieksa,100,FI,1570028295,82,63.32,30.02,275.983,4.97
372,mubende,52,UG,1570028296,91,0.56,31.4,293.883,1.64
373,antofagasta,75,CL,1570028091,77,-23.65,-70.4,288.15,7.7
374,qasigiannguit,75,GL,1570028299,29,68.82,-51.19,283.15,8.2
375,portland,90,US,1570028020,82,43.66,-70.25,292.15,2.1
376,novouzensk,48,RU,1570028301,74,50.46,48.14,288.283,0.9
377,juneau,75,US,1570028302,100,58.3,-134.42,282.59,1.85
378,westport,1,US,1570028147,73,41.14,-73.36,302.04,4.6
379,sokoni,86,CD,1570028304,60,-12.89,28.78,295.683,4.64
380,kumluca,25,TR,1570028305,73,36.37,30.29,290.783,2.39
381,pampa,90,US,1570028035,94,35.54,-100.96,294.26,4.1
382,rawson,0,AR,1570028307,19,-43.3,-65.11,284.683,2.99
383,seydi,0,NE,1570028308,63,13.34,7.75,306.15,1.0
384,adrar,0,DZ,1570028310,6,27.87,-0.29,315.15,5.7
385,santa marta,90,CO,1570028312,79,11.24,-74.21,302.15,3.1
386,pandan,100,PH,1570028313,77,11.72,122.09,300.883,2.37
